date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:19	110002/110002	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:20%20GMT	https://www.marketsandmarkets.com/resins-polimers-market-research-66.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/resins-polimers-market-research-66.html	(from https://www.marketsandmarkets.com/)
19:29:20	95838/95838	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:21%20GMT	https://www.marketsandmarkets.com/fibres-market-research-65.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/fibres-market-research-65.html	(from https://www.marketsandmarkets.com/)
19:29:21	105117/105117	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:22%20GMT	https://www.marketsandmarkets.com/energy-power-supplies-market-research-4.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/energy-power-supplies-market-research-4.html	(from https://www.marketsandmarkets.com/)
19:29:22	111632/111632	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:22%20GMT	https://www.marketsandmarkets.com/food-and-beverages-market-research-6.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/food-and-beverages-market-research-6.html	(from https://www.marketsandmarkets.com/)
19:29:23	38831/38831	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:23%20GMT	https://www.marketsandmarkets.com/convenience-frozen-food-market-research-72.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/convenience-frozen-food-market-research-72.html	(from https://www.marketsandmarkets.com/)
19:29:24	107377/107377	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:25%20GMT	https://www.marketsandmarkets.com/biotech-market-research-5.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biotech-market-research-5.html	(from https://www.marketsandmarkets.com/)
19:29:30	34617/34617	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:27%20GMT	https://www.marketsandmarkets.com/biomaterials-market-research-32.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biomaterials-market-research-32.html	(from https://www.marketsandmarkets.com/)
19:29:31	33539/33539	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:32%20GMT	https://www.marketsandmarkets.com/proteomics-market-research-34.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/proteomics-market-research-34.html	(from https://www.marketsandmarkets.com/)
19:29:32	33362/33362	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:33%20GMT	https://www.marketsandmarkets.com/bioinformatics-market-research-35.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/bioinformatics-market-research-35.html	(from https://www.marketsandmarkets.com/)
19:29:33	34356/34356	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:34%20GMT	https://www.marketsandmarkets.com/biomarkers-market-research-36.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biomarkers-market-research-36.html	(from https://www.marketsandmarkets.com/)
19:29:34	33892/33892	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:35%20GMT	https://www.marketsandmarkets.com/biosimilars-market-research-37.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biosimilars-market-research-37.html	(from https://www.marketsandmarkets.com/)
19:29:35	36807/36807	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:36%20GMT	https://www.marketsandmarkets.com/biotech-drug-delivery-market-research-41.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biotech-drug-delivery-market-research-41.html	(from https://www.marketsandmarkets.com/)
19:29:36	35397/35397	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:37%20GMT	https://www.marketsandmarkets.com/biotech-drug-discovery-market-research-42.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/biotech-drug-discovery-market-research-42.html	(from https://www.marketsandmarkets.com/)
19:29:38	31354/31354	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:38%20GMT	https://www.marketsandmarkets.com/stem-cell-market-research-119.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/stem-cell-market-research-119.html	(from https://www.marketsandmarkets.com/)
